keyword,volume,keyword_difficulty,cpc_aud,competition,intent_code,funnel_stage,is_geo,priority_score,rank_target
pest control,18100,59,3.81,0.71,0,MOFU,no,1261.8,no
pest control near me,12100,44,4.32,0.72,"1,3",MOFU,no,1192.1,no
pest control and,6600,27,3.81,0.71,"1,0",MOFU,no,858.0,yes
termites,14800,55,2.11,0.08,1,TOFU,no,708.1,no
termite inspection,3600,23,5.37,0.28,1,MOFU,no,694.9,yes
exterminators close to me,6600,44,4.32,0.72,0,MOFU,no,650.2,no
termite treatment,5400,40,3.83,1.0,0,MOFU,no,521.6,no
pest control pest,6600,54,3.81,0.71,1,MOFU,no,496.0,no
ant from ants,6600,29,0.7,0.04,1,TOFU,no,287.7,yes
how to get rid of cockroaches,2900,12,1.15,1.0,1,TOFU,no,283.4,yes
insect control perth,2900,39,3.6,0.81,0,BOFU,yes,272.2,no
how to get rid of ants,4400,18,0.61,0.71,1,TOFU,no,253.0,yes
pest fumigation perth,2900,46,3.6,0.81,0,TOFU,yes,238.2,no
ant killer,2900,19,1.29,1.0,"1,0",TOFU,no,229.0,yes
white tail spider bite,8100,27,0.03,0.01,1,TOFU,no,225.5,yes
pest control perth,2900,50,3.6,0.81,0,BOFU,yes,222.3,no
rodent control,1900,31,3.72,0.89,1,MOFU,no,218.7,yes
flick it over,1300,23,4.36,0.04,2,TOFU,no,211.2,yes
exterminators pest control services,2400,47,4.0,0.12,0,MOFU,no,210.5,no
pest exterminator perth,2900,54,3.6,0.81,0,BOFU,yes,208.4,no
pest control bayswater,480,7,6.1,0.68,1,MOFU,no,200.5,yes
ant pest control,1600,26,3.49,0.88,"1,0",MOFU,no,199.6,yes
pest control exterminators near me,2400,56,4.32,0.72,3,MOFU,no,193.5,no
termite control,2400,53,4.07,0.25,1,MOFU,no,193.1,no
cockroach control,1600,25,2.92,0.4,1,MOFU,no,179.2,yes
how much does pest control cost,1300,8,1.48,0.59,1,MOFU,no,179.1,yes
spider control,1300,20,2.9,0.57,0,MOFU,no,169.0,yes
rodent control perth,1300,26,3.6,0.81,0,BOFU,yes,166.1,yes
ant kills ant,2400,24,1.29,1.0,1,TOFU,no,161.6,yes
spider pest control,1300,24,3.04,0.73,1,MOFU,no,154.5,yes
pest exterminator cost,1000,9,1.77,0.68,1,MOFU,no,145.8,yes
pest control and termite control,1000,32,5.03,0.77,0,MOFU,no,143.6,yes
rodent pest control,1300,33,3.72,0.89,1,MOFU,no,142.7,yes
termite pest control,1300,45,5.03,0.77,0,MOFU,no,142.5,no
pest spray perth,1900,52,3.6,0.81,0,TOFU,yes,141.0,no
pest control services,1900,58,4.0,0.12,1,MOFU,no,139.7,no
termite treatment perth,1000,40,5.92,0.9,0,BOFU,yes,138.4,no
ant control,1300,28,2.93,0.5,1,MOFU,no,134.4,yes
household ways to get rid of ants,2900,25,0.61,0.71,1,TOFU,no,133.4,yes
rodent exterminator,590,11,3.72,0.89,0,MOFU,no,132.6,yes
exterminator cost,1000,11,1.76,0.7,1,MOFU,no,131.4,yes
pest control services near me,720,21,4.61,0.34,3,MOFU,no,130.3,yes
how do we get rid of ants,2900,26,0.61,0.71,1,TOFU,no,129.7,yes
termite treatment cost,720,8,2.24,0.5,"1,0",MOFU,no,129.6,yes
pest,1900,50,3.0,0.21,1,TOFU,no,126.7,no
pest control prices,720,6,1.77,0.68,2,MOFU,no,124.7,yes
how can i get rid of cockroaches,1300,13,1.15,1.0,1,TOFU,no,121.5,yes
wasp removal near me,480,12,4.54,0.89,3,MOFU,no,120.9,yes
termico,880,22,3.33,0.21,"2,0",TOFU,no,119.1,yes
pest control armadale,390,6,3.84,0.8,0,MOFU,no,118.0,yes
ant spray,1000,10,1.32,1.0,"1,0",TOFU,no,116.0,yes
how much does an exterminator charge,720,6,1.48,0.59,1,MOFU,no,111.6,yes
termite cost to treat,720,11,2.24,0.5,1,TOFU,no,111.1,yes
rat exterminator,720,23,3.89,0.8,0,MOFU,no,106.7,yes
exterminators for pests,1300,49,3.81,0.71,0,MOFU,no,106.0,no
ant control perth,480,14,4.23,0.57,1,BOFU,yes,104.6,yes
perth rodent control,590,16,3.6,0.81,0,BOFU,yes,104.4,yes
bee removal,590,14,3.23,0.73,0,MOFU,no,104.0,yes
rat pest control,880,27,3.32,0.78,0,MOFU,no,102.7,yes
perth pest control,1000,43,4.37,0.77,0,BOFU,yes,101.3,no
how much does a pest exterminator cost,720,8,1.48,0.59,1,MOFU,no,99.2,yes
wasp removal,590,22,4.16,0.89,1,MOFU,no,95.1,yes
flea treatment,1600,31,1.41,1.0,"1,0",MOFU,no,94.0,yes
termite inspection cost,480,8,2.46,0.36,"1,0",MOFU,no,92.3,yes
rat control,1000,36,3.12,0.91,1,MOFU,no,89.6,no
spider exterminator,720,24,3.2,0.68,0,MOFU,no,88.9,yes
what do white ants look like,1000,6,0.41,0.03,1,TOFU,no,88.1,yes
rat pest removal,720,26,3.32,0.78,0,MOFU,no,86.4,yes
termite inspection near me,390,19,5.42,0.62,3,MOFU,no,86.3,yes
spider control perth,320,13,5.1,0.58,0,BOFU,yes,84.9,yes
cockroach control perth,390,12,3.78,0.22,1,BOFU,yes,84.7,yes
local pest control,590,34,5.24,0.78,1,MOFU,no,83.7,yes
termite inspection perth,480,32,6.2,0.72,0,BOFU,yes,82.3,yes
pest control joondalup,390,15,4.17,0.72,0,BOFU,yes,80.7,yes
exterminator service near me,720,39,4.44,0.34,3,MOFU,no,79.9,no
pest control cost,720,15,1.77,0.68,1,MOFU,no,79.8,yes
bed bug treatment,1600,43,1.57,1.0,"1,0",MOFU,no,77.6,no
how to rid of cockroaches,720,10,1.15,1.0,1,TOFU,no,77.4,yes
bee removal near me,390,10,2.93,0.72,3,MOFU,no,76.6,yes
termite treatment near me,320,17,5.46,0.61,3,MOFU,no,76.6,yes
how can we get rid of ants,1300,18,0.61,0.71,1,TOFU,no,74.8,yes
how much does it cost for pest control,480,6,1.48,0.59,1,MOFU,no,74.4,yes
what do termites look like,1900,26,0.41,0.03,1,TOFU,no,74.4,yes
how to get rid of german cockroaches,590,8,1.27,1.0,1,TOFU,no,74.4,yes
how to get rid of cockroaches at home,1000,11,0.55,1.0,1,TOFU,no,73.8,yes
residential pest control,880,45,3.54,0.61,0,MOFU,no,72.6,no
rat and rodent control,590,24,3.12,0.91,0,MOFU,no,71.5,yes
rat catcher,590,22,2.88,0.87,"1,3",TOFU,no,71.5,yes
pest control sorrento,260,8,3.88,0.95,0,BOFU,yes,70.5,yes
pest control service,1000,61,4.0,0.12,0,MOFU,no,70.4,no
how can i kill cockroaches,880,17,1.07,0.86,1,TOFU,no,67.5,yes
how to rid of german cockroaches,720,11,0.95,0.97,1,TOFU,no,66.9,yes
rat control near me,390,22,4.47,0.99,"1,3",MOFU,no,66.7,yes
are huntsman spiders venomous,1900,20,0.05,0.01,"1,0",TOFU,no,66.5,yes
tom's pest control,1000,62,3.76,0.55,0,MOFU,no,66.1,no
mice exterminator near me,480,29,4.36,0.96,3,MOFU,no,66.0,yes
pest control rockingham,390,16,3.36,0.92,0,MOFU,no,65.4,yes
building and pest inspection near me,590,48,5.37,0.5,3,MOFU,no,64.8,no
ant exterminators,390,16,3.31,0.87,0,MOFU,no,64.7,yes
building inspection perth,480,50,6.82,0.74,0,BOFU,yes,62.6,no
pest services perth,720,46,3.6,0.81,0,TOFU,yes,59.1,no
rat removal,590,30,2.99,0.65,1,MOFU,no,58.9,yes
termites in home,720,24,1.76,0.11,"1,3",TOFU,no,58.4,yes
pre-construction termite barrier,90,1,6.03,0.86,1,TOFU,no,57.5,yes
exterminator perth,720,58,4.37,0.77,0,BOFU,yes,56.9,no
spider treatment,390,21,3.44,0.98,1,MOFU,no,55.9,yes
pest control for rats,480,28,3.32,0.78,0,MOFU,no,54.6,yes
how to get rid or rats,1000,20,0.6,1.0,1,TOFU,no,53.3,yes
how much is pest control,390,8,1.44,0.65,1,MOFU,no,52.9,yes
mouse control,390,21,3.18,0.86,0,MOFU,no,52.6,yes
pest control in perth,720,55,3.6,0.81,0,BOFU,yes,51.0,no
will cockroaches bite,1600,22,0.02,0.0,1,TOFU,no,51.0,yes
natural bug spray for ants,1000,15,0.26,0.33,1,TOFU,no,50.4,yes
exterminator rat,590,41,3.32,0.78,0,MOFU,no,50.0,no
how much pest control cost,320,6,1.44,0.65,1,MOFU,no,48.8,yes
can cockroaches fly,1300,17,0.0,0.0,"1,0",TOFU,no,48.1,yes
are long legged spiders poisonous,1600,24,0.02,0.02,1,TOFU,no,48.0,yes
spider and pest control,320,17,3.04,0.73,0,MOFU,no,47.9,yes
can huntsman spiders bite,880,9,0.03,0.03,1,TOFU,no,47.7,yes
pest control termites near me,320,39,6.06,0.86,3,MOFU,no,46.1,no
how get rid rats,1000,25,0.6,1.0,1,TOFU,no,45.7,yes
how can you get rid of rats,880,21,0.6,1.0,1,TOFU,no,45.4,yes
mouse control near me,210,14,4.11,0.89,3,MOFU,no,44.7,yes
commercial pest control perth,390,30,3.56,0.35,1,BOFU,yes,44.5,yes
get rid of ants,880,24,0.72,1.0,1,TOFU,no,44.5,yes
