keyword,volume,keyword_difficulty,cpc_aud,competition,intent_code,funnel_stage,is_geo,priority_score,rank_target
ant from ants,6600,29,0.7,0.04,1,TOFU,no,287.7,yes
how to get rid of cockroaches,2900,12,1.15,1.0,1,TOFU,no,283.4,yes
how to get rid of ants,4400,18,0.61,0.71,1,TOFU,no,253.0,yes
ant killer,2900,19,1.29,1.0,"1,0",TOFU,no,229.0,yes
white tail spider bite,8100,27,0.03,0.01,1,TOFU,no,225.5,yes
flick it over,1300,23,4.36,0.04,2,TOFU,no,211.2,yes
ant kills ant,2400,24,1.29,1.0,1,TOFU,no,161.6,yes
household ways to get rid of ants,2900,25,0.61,0.71,1,TOFU,no,133.4,yes
how do we get rid of ants,2900,26,0.61,0.71,1,TOFU,no,129.7,yes
how can i get rid of cockroaches,1300,13,1.15,1.0,1,TOFU,no,121.5,yes
termico,880,22,3.33,0.21,"2,0",TOFU,no,119.1,yes
ant spray,1000,10,1.32,1.0,"1,0",TOFU,no,116.0,yes
termite cost to treat,720,11,2.24,0.5,1,TOFU,no,111.1,yes
what do white ants look like,1000,6,0.41,0.03,1,TOFU,no,88.1,yes
how to rid of cockroaches,720,10,1.15,1.0,1,TOFU,no,77.4,yes
how can we get rid of ants,1300,18,0.61,0.71,1,TOFU,no,74.8,yes
what do termites look like,1900,26,0.41,0.03,1,TOFU,no,74.4,yes
how to get rid of german cockroaches,590,8,1.27,1.0,1,TOFU,no,74.4,yes
how to get rid of cockroaches at home,1000,11,0.55,1.0,1,TOFU,no,73.8,yes
rat catcher,590,22,2.88,0.87,"1,3",TOFU,no,71.5,yes
how can i kill cockroaches,880,17,1.07,0.86,1,TOFU,no,67.5,yes
how to rid of german cockroaches,720,11,0.95,0.97,1,TOFU,no,66.9,yes
are huntsman spiders venomous,1900,20,0.05,0.01,"1,0",TOFU,no,66.5,yes
termites in home,720,24,1.76,0.11,"1,3",TOFU,no,58.4,yes
pre-construction termite barrier,90,1,6.03,0.86,1,TOFU,no,57.5,yes
how to get rid or rats,1000,20,0.6,1.0,1,TOFU,no,53.3,yes
will cockroaches bite,1600,22,0.02,0.0,1,TOFU,no,51.0,yes
natural bug spray for ants,1000,15,0.26,0.33,1,TOFU,no,50.4,yes
can cockroaches fly,1300,17,0.0,0.0,"1,0",TOFU,no,48.1,yes
are long legged spiders poisonous,1600,24,0.02,0.02,1,TOFU,no,48.0,yes
can huntsman spiders bite,880,9,0.03,0.03,1,TOFU,no,47.7,yes
how get rid rats,1000,25,0.6,1.0,1,TOFU,no,45.7,yes
how can you get rid of rats,880,21,0.6,1.0,1,TOFU,no,45.4,yes
get rid of ants,880,24,0.72,1.0,1,TOFU,no,44.5,yes
w.ant,1600,26,0.0,0.0,1,TOFU,no,44.4,yes
termites in house,720,35,1.76,0.11,1,TOFU,no,44.2,yes
how to get rid of the cockroaches,590,19,1.15,1.0,1,TOFU,no,43.7,yes
how many eyes do spiders have,1900,34,0.0,0.0,1,TOFU,no,43.2,yes
are huntsman spiders dangerous,1300,21,0.03,0.01,1,TOFU,no,43.2,yes
do huntsman spiders bite,1300,21,0.02,0.01,1,TOFU,no,42.8,yes
how can i get rid of a rat,1000,28,0.6,1.0,1,TOFU,no,42.1,yes
how many eyes a spider has,1600,28,0.0,0.0,1,TOFU,no,42.1,yes
how many eyes does the spider have,1600,28,0.0,0.0,1,TOFU,no,42.1,yes
how to hold a cockroach,590,20,1.12,0.33,"1,3",TOFU,no,41.7,yes
how to get rid of ants in house,720,18,0.61,0.99,1,TOFU,no,41.4,yes
how to get rid of ants permanently,720,19,0.62,1.0,1,TOFU,no,40.2,yes
how can i get rid of ants in the house,720,16,0.44,0.98,1,TOFU,no,39.9,yes
do cockroaches bite,1600,31,0.02,0.0,1,TOFU,no,39.8,yes
how many eyes of a spider,1600,31,0.0,0.0,1,TOFU,no,39.0,yes
how get rid ants,720,20,0.61,0.71,1,TOFU,no,38.6,yes
how many eyes are on a spider,1600,32,0.0,0.0,1,TOFU,no,38.1,yes
how many eyeballs do spiders have,1600,33,0.0,0.0,1,TOFU,no,37.2,yes
how to rid of rats,720,20,0.54,1.0,1,TOFU,no,37.0,yes
coastal brown ant,390,13,1.12,0.01,"1,3",TOFU,no,35.9,yes
how to get rid of rats,1000,33,0.54,1.0,1,TOFU,no,35.8,yes
how get rid of rats,880,28,0.54,1.0,1,TOFU,no,35.7,yes
how do i permanently get rid of ants,590,17,0.62,1.0,1,TOFU,no,35.4,yes
how to get rid from cockroaches,590,17,0.55,1.0,1,TOFU,no,33.9,yes
can cockroaches live in your penises,880,17,0.0,0.0,1,TOFU,no,32.6,yes
how to repel ants in the kitchen,720,20,0.28,0.68,1,TOFU,no,30.7,yes
natural ant repellent,1000,25,0.06,0.26,1,TOFU,no,30.3,yes
do ants sleep,1000,24,0.0,0.0,1,TOFU,no,29.4,yes
can cockroaches bite,1000,25,0.02,0.0,1,TOFU,no,29.1,yes
how do you kill ants,590,23,0.61,0.42,1,TOFU,no,28.8,yes
what does rat excrement look like,720,15,0.0,0.0,1,TOFU,no,28.8,yes
do cockroaches fly,1000,25,0.0,0.0,1,TOFU,no,28.6,yes
can cockroaches live in your peni,880,21,0.0,0.0,1,TOFU,no,28.4,yes
how to remove cockroaches,720,30,0.55,1.0,1,TOFU,no,27.9,yes
how to make fermented spider eye,1000,26,0.0,0.0,1,TOFU,no,27.8,yes
how to get rid of termites,590,30,0.83,0.76,1,TOFU,no,27.0,yes
how to kill cockroaches,720,17,0.0,0.0,1,TOFU,no,26.7,yes
what does rat poop look like,720,17,0.0,0.0,1,TOFU,no,26.7,yes
can cockroaches live in yourpenis,880,24,0.0,0.0,1,TOFU,no,25.9,yes
what do fire ants look like,880,28,0.12,0.05,1,TOFU,no,25.9,yes
can cockroaches live in your penis,720,18,0.0,0.0,1,TOFU,no,25.7,yes
are wolf spiders dangerous,1000,30,0.0,0.0,1,TOFU,no,25.0,yes
what does rat feces look like,720,19,0.0,0.0,1,TOFU,no,24.8,yes
what do cockroaches eat,720,22,0.09,0.01,1,TOFU,no,24.5,yes
how can you kill ants,590,29,0.61,0.42,1,TOFU,no,24.4,yes
how can i get rid of ants in the kitchen,720,28,0.28,0.68,1,TOFU,no,24.3,yes
how do u get rid of ants in the kitchen,720,28,0.28,0.68,1,TOFU,no,24.3,yes
what do termite look like,480,18,0.41,0.03,1,TOFU,no,24.2,yes
how to rid termites,390,19,0.8,0.77,1,TOFU,no,24.2,yes
does an ant sleep,720,20,0.0,0.0,1,TOFU,no,24.0,yes
how long do ants live,720,20,0.0,0.0,1,TOFU,no,24.0,yes
how can i kill ants,590,21,0.25,0.3,1,TOFU,no,23.8,yes
how many legs do spiders have,1000,33,0.0,0.0,1,TOFU,no,23.3,yes
how to get fermented spider eye,1000,33,0.0,0.0,1,TOFU,no,23.3,yes
