rank,keyword,volume,kd,cpc,score,root,source
1,how to get rid of cockroaches,2900,12,1.15,283.40909090909093,cockroach,r1
2,how to get rid of ants,4400,18,0.61,252.99999999999997,ant,r1
3,how much does pest control cost,1300,8,1.48,179.11111111111111,pest control,r1
4,how to dispose of a wasp nest,1600,10,0.79,143.2,wasp nest,r2
5,how do i kill wasp nest,1600,12,0.79,130.1818181818182,wasp nest,r2
6,how do we get rid of ants,2900,26,0.61,129.69444444444446,ant,r1
7,how can i get rid of cockroaches,1300,13,1.15,121.52173913043478,cockroach,r1
8,what do white ants look like,1000,6,0.41,88.125,ant,r1
9,how to rid of wasp nest,1300,18,0.79,83.10714285714286,wasp nest,r2
10,how to rid of cockroaches,720,10,1.15,77.4,cockroach,r1
11,how can we get rid of ants,1300,18,0.61,74.75,ant,r1
12,what do termites look like,1900,26,0.41,74.41666666666667,termite,r1
13,how to get rid of german cockroaches,590,8,1.27,74.40555555555555,cockroach,r1
14,how much does it cost for pest control,480,6,1.48,74.4,pest control,r1
15,how to get rid of cockroaches at home,1000,11,0.55,73.80952380952381,cockroach,r1
16,how to get rid of silverfish,1600,20,0.33,70.93333333333334,silverfish,r2
17,how can i kill cockroaches,880,17,1.07,67.46666666666668,cockroach,r1
18,how to rid of german cockroaches,720,11,0.95,66.85714285714286,cockroach,r1
19,are huntsman spiders venomous,1900,20,0.05,66.5,spider,r1
20,how to get rid of wasp nest,1000,19,0.79,61.724137931034484,wasp nest,r2
21,how do you get rid of german cockroaches,480,8,1.27,60.53333333333333,german cockroach,r2
22,how get rid silverfish,1300,25,0.58,58.68571428571428,silverfish,r2
23,how to get rid or rats,1000,20,0.6,53.333333333333336,rat,r1
24,is termite damage covered by insurance,110,3,5.28,53.13846153846154,termite damage,r2
25,how much is pest control,390,8,1.44,52.86666666666667,pest control,r1
26,will cockroaches bite,1600,22,0.02,51.0,cockroach,r1
27,does home insurance cover termite damage,140,14,7.7,50.75,termite damage,r2
